"","geoid","measure","measure_type","region_name","region_type","value","year"
"46","51009010502","affordability index","index","Census Tract 105.02, Amherst County, Virginia","tract","46",2015
"47","51009010503","affordability index","index","Census Tract 105.03, Amherst County, Virginia","tract","48",2015
"48","51009010504","affordability index","index","Census Tract 105.04, Amherst County, Virginia","tract","47",2015
"49","51009010600","affordability index","index","Census Tract 106, Amherst County, Virginia","tract","51",2015
"50","51011040100","affordability index","index","Census Tract 401, Appomattox County, Virginia","tract","54",2015
"51","51011040200","affordability index","index","Census Tract 402, Appomattox County, Virginia","tract","56",2015
"52","51011040300","affordability index","index","Census Tract 403, Appomattox County, Virginia","tract","57",2015
"53","51013100100","affordability index","index","Census Tract 1001, Arlington County, Virginia","tract","54",2015
"54","51013100200","affordability index","index","Census Tract 1002, Arlington County, Virginia","tract","60",2015
"55","51013100300","affordability index","index","Census Tract 1003, Arlington County, Virginia","tract","61",2015
"56","51013100400","affordability index","index","Census Tract 1004, Arlington County, Virginia","tract","62",2015
"57","51013100500","affordability index","index","Census Tract 1005, Arlington County, Virginia","tract","56",2015
"58","51013100600","affordability index","index","Census Tract 1006, Arlington County, Virginia","tract","45",2015
"59","51013100700","affordability index","index","Census Tract 1007, Arlington County, Virginia","tract","48",2015
"60","51013100800","affordability index","index","Census Tract 1008, Arlington County, Virginia","tract","43",2015
"61","51013100900","affordability index","index","Census Tract 1009, Arlington County, Virginia","tract","46",2015
"62","51013101000","affordability index","index","Census Tract 1010, Arlington County, Virginia","tract","47",2015
"63","51013101100","affordability index","index","Census Tract 1011, Arlington County, Virginia","tract","50",2015
"64","51013101200","affordability index","index","Census Tract 1012, Arlington County, Virginia","tract","49",2015
"65","51013101300","affordability index","index","Census Tract 1013, Arlington County, Virginia","tract","49",2015
"66","51013101401","affordability index","index","Census Tract 1014.01, Arlington County, Virginia","tract","36",2015
"67","51013101402","affordability index","index","Census Tract 1014.02, Arlington County, Virginia","tract","39",2015
"68","51013101403","affordability index","index","Census Tract 1014.03, Arlington County, Virginia","tract","38",2015
"69","51013101404","affordability index","index","Census Tract 1014.04, Arlington County, Virginia","tract","42",2015
"70","51013101500","affordability index","index","Census Tract 1015, Arlington County, Virginia","tract","40",2015
"71","51013101601","affordability index","index","Census Tract 1016.01, Arlington County, Virginia","tract","41",2015
"72","51013101602","affordability index","index","Census Tract 1016.02, Arlington County, Virginia","tract","32",2015
"73","51013101603","affordability index","index","Census Tract 1016.03, Arlington County, Virginia","tract","38",2015
"74","51013101701","affordability index","index","Census Tract 1017.01, Arlington County, Virginia","tract","39",2015
"75","51013101702","affordability index","index","Census Tract 1017.02, Arlington County, Virginia","tract","36",2015
"76","51013101703","affordability index","index","Census Tract 1017.03, Arlington County, Virginia","tract","34",2015
"77","51013101801","affordability index","index","Census Tract 1018.01, Arlington County, Virginia","tract","43",2015
"78","51013101802","affordability index","index","Census Tract 1018.02, Arlington County, Virginia","tract","37",2015
"79","51013101803","affordability index","index","Census Tract 1018.03, Arlington County, Virginia","tract","36",2015
"80","51013101900","affordability index","index","Census Tract 1019, Arlington County, Virginia","tract","54",2015
"81","51013102001","affordability index","index","Census Tract 1020.01, Arlington County, Virginia","tract","30",2015
"82","51013102002","affordability index","index","Census Tract 1020.02, Arlington County, Virginia","tract","30",2015
"83","51013102003","affordability index","index","Census Tract 1020.03, Arlington County, Virginia","tract","29",2015
"84","51013102100","affordability index","index","Census Tract 1021, Arlington County, Virginia","tract","37",2015
"85","51013102200","affordability index","index","Census Tract 1022, Arlington County, Virginia","tract","29",2015
"86","51013102301","affordability index","index","Census Tract 1023.01, Arlington County, Virginia","tract","48",2015
"87","51013102302","affordability index","index","Census Tract 1023.02, Arlington County, Virginia","tract","39",2015
"88","51013102400","affordability index","index","Census Tract 1024, Arlington County, Virginia","tract","37",2015
"89","51013102500","affordability index","index","Census Tract 1025, Arlington County, Virginia","tract","35",2015
"90","51013102600","affordability index","index","Census Tract 1026, Arlington County, Virginia","tract","40",2015
"91","51013102701","affordability index","index","Census Tract 1027.01, Arlington County, Virginia","tract","29",2015
"92","51013102702","affordability index","index","Census Tract 1027.02, Arlington County, Virginia","tract","40",2015
"93","51013102801","affordability index","index","Census Tract 1028.01, Arlington County, Virginia","tract","33",2015
"94","51013102802","affordability index","index","Census Tract 1028.02, Arlington County, Virginia","tract","47",2015
"95","51013102901","affordability index","index","Census Tract 1029.01, Arlington County, Virginia","tract","38",2015
"96","51013102902","affordability index","index","Census Tract 1029.02, Arlington County, Virginia","tract","38",2015
"97","51013103000","affordability index","index","Census Tract 1030, Arlington County, Virginia","tract","42",2015
"98","51013103100","affordability index","index","Census Tract 1031, Arlington County, Virginia","tract","38",2015
"99","51013103200","affordability index","index","Census Tract 1032, Arlington County, Virginia","tract","34",2015
"100","51013103300","affordability index","index","Census Tract 1033, Arlington County, Virginia","tract","30",2015
"101","51013103401","affordability index","index","Census Tract 1034.01, Arlington County, Virginia","tract","34",2015
"102","51013103402","affordability index","index","Census Tract 1034.02, Arlington County, Virginia","tract","40",2015
"103","51013103501","affordability index","index","Census Tract 1035.01, Arlington County, Virginia","tract","34",2015
"104","51013103502","affordability index","index","Census Tract 1035.02, Arlington County, Virginia","tract","34",2015
"105","51013103503","affordability index","index","Census Tract 1035.03, Arlington County, Virginia","tract","35",2015
"106","51013103601","affordability index","index","Census Tract 1036.01, Arlington County, Virginia","tract","47",2015
"107","51013103602","affordability index","index","Census Tract 1036.02, Arlington County, Virginia","tract","32",2015
"108","51013103700","affordability index","index","Census Tract 1037, Arlington County, Virginia","tract","59",2015
"109","51013103800","affordability index","index","Census Tract 1038, Arlington County, Virginia","tract","35",2015
"110","51013980100","affordability index","index","Census Tract 9801, Arlington County, Virginia","tract",NA,2015
"111","51013980200","affordability index","index","Census Tract 9802, Arlington County, Virginia","tract",NA,2015
"112","51015070100","affordability index","index","Census Tract 701, Augusta County, Virginia","tract","52",2015
"113","51015070200","affordability index","index","Census Tract 702, Augusta County, Virginia","tract","57",2015
"114","51015070300","affordability index","index","Census Tract 703, Augusta County, Virginia","tract","57",2015
"115","51015070400","affordability index","index","Census Tract 704, Augusta County, Virginia","tract","57",2015
"116","51015070500","affordability index","index","Census Tract 705, Augusta County, Virginia","tract","60",2015
"117","51015070600","affordability index","index","Census Tract 706, Augusta County, Virginia","tract","61",2015
"118","51015070700","affordability index","index","Census Tract 707, Augusta County, Virginia","tract","58",2015
"119","51015070800","affordability index","index","Census Tract 708, Augusta County, Virginia","tract","60",2015
"120","51015070900","affordability index","index","Census Tract 709, Augusta County, Virginia","tract","53",2015
"121","51015071000","affordability index","index","Census Tract 710, Augusta County, Virginia","tract","57",2015
"122","51015071101","affordability index","index","Census Tract 711.01, Augusta County, Virginia","tract","49",2015
"123","51015071102","affordability index","index","Census Tract 711.02, Augusta County, Virginia","tract","57",2015
"124","51015071200","affordability index","index","Census Tract 712, Augusta County, Virginia","tract","61",2015
"125","51017920100","affordability index","index","Census Tract 9201, Bath County, Virginia","tract","61",2015
"126","51019030101","affordability index","index","Census Tract 301.01, Bedford County, Virginia","tract","69",2015
"127","51019030103","affordability index","index","Census Tract 301.03, Bedford County, Virginia","tract","67",2015
"128","51019030104","affordability index","index","Census Tract 301.04, Bedford County, Virginia","tract","55",2015
"129","51019030201","affordability index","index","Census Tract 302.01, Bedford County, Virginia","tract","72",2015
"130","51019030202","affordability index","index","Census Tract 302.02, Bedford County, Virginia","tract","61",2015
"131","51019030300","affordability index","index","Census Tract 303, Bedford County, Virginia","tract","57",2015
"132","51019030401","affordability index","index","Census Tract 304.01, Bedford County, Virginia","tract","58",2015
"133","51019030402","affordability index","index","Census Tract 304.02, Bedford County, Virginia","tract","55",2015
"134","51019030501","affordability index","index","Census Tract 305.01, Bedford County, Virginia","tract","55",2015
"135","51019030503","affordability index","index","Census Tract 305.03, Bedford County, Virginia","tract","65",2015
"136","51019030504","affordability index","index","Census Tract 305.04, Bedford County, Virginia","tract","58",2015
"137","51019030601","affordability index","index","Census Tract 306.01, Bedford County, Virginia","tract","58",2015
"138","51019030602","affordability index","index","Census Tract 306.02, Bedford County, Virginia","tract","56",2015
"139","51019030603","affordability index","index","Census Tract 306.03, Bedford County, Virginia","tract","55",2015
"140","51019030604","affordability index","index","Census Tract 306.04, Bedford County, Virginia","tract","58",2015
"141","51019030605","affordability index","index","Census Tract 306.05, Bedford County, Virginia","tract","52",2015
"142","51019050100","affordability index","index","Census Tract 501, Bedford County, Virginia","tract","47",2015
"143","51021040100","affordability index","index","Census Tract 401, Bland County, Virginia","tract","58",2015
"144","51021040200","affordability index","index","Census Tract 402, Bland County, Virginia","tract","34",2015
"145","51023040100","affordability index","index","Census Tract 401, Botetourt County, Virginia","tract","44",2015
"146","51023040200","affordability index","index","Census Tract 402, Botetourt County, Virginia","tract","44",2015
"147","51023040301","affordability index","index","Census Tract 403.01, Botetourt County, Virginia","tract","64",2015
"148","51023040302","affordability index","index","Census Tract 403.02, Botetourt County, Virginia","tract","70",2015
"149","51023040401","affordability index","index","Census Tract 404.01, Botetourt County, Virginia","tract","53",2015
"150","51023040402","affordability index","index","Census Tract 404.02, Botetourt County, Virginia","tract","58",2015
"151","51023040501","affordability index","index","Census Tract 405.01, Botetourt County, Virginia","tract","63",2015
"152","51023040502","affordability index","index","Census Tract 405.02, Botetourt County, Virginia","tract","56",2015
"153","51025930100","affordability index","index","Census Tract 9301, Brunswick County, Virginia","tract","66",2015
"154","51025930201","affordability index","index","Census Tract 9302.01, Brunswick County, Virginia","tract","64",2015
"155","51025930202","affordability index","index","Census Tract 9302.02, Brunswick County, Virginia","tract",NA,2015
"156","51025930203","affordability index","index","Census Tract 9302.03, Brunswick County, Virginia","tract","62",2015
"157","51025930300","affordability index","index","Census Tract 9303, Brunswick County, Virginia","tract","71",2015
"158","51027010100","affordability index","index","Census Tract 101, Buchanan County, Virginia","tract","65",2015
"159","51027010200","affordability index","index","Census Tract 102, Buchanan County, Virginia","tract","73",2015
"160","51027010300","affordability index","index","Census Tract 103, Buchanan County, Virginia","tract","74",2015
"161","51027010400","affordability index","index","Census Tract 104, Buchanan County, Virginia","tract","70",2015
"162","51027010500","affordability index","index","Census Tract 105, Buchanan County, Virginia","tract","75",2015
"163","51027010600","affordability index","index","Census Tract 106, Buchanan County, Virginia","tract","74",2015
"164","51027010700","affordability index","index","Census Tract 107, Buchanan County, Virginia","tract","75",2015
"165","51029930101","affordability index","index","Census Tract 9301.01, Buckingham County, Virginia","tract","45",2015
"166","51029930102","affordability index","index","Census Tract 9301.02, Buckingham County, Virginia","tract","45",2015
"167","51029930201","affordability index","index","Census Tract 9302.01, Buckingham County, Virginia","tract","45",2015
"168","51029930202","affordability index","index","Census Tract 9302.02, Buckingham County, Virginia","tract","48",2015
"169","51031020101","affordability index","index","Census Tract 201.01, Campbell County, Virginia","tract","56",2015
"170","51031020102","affordability index","index","Census Tract 201.02, Campbell County, Virginia","tract","61",2015
"171","51031020200","affordability index","index","Census Tract 202, Campbell County, Virginia","tract","57",2015
"172","51031020300","affordability index","index","Census Tract 203, Campbell County, Virginia","tract","54",2015
"173","51031020401","affordability index","index","Census Tract 204.01, Campbell County, Virginia","tract","48",2015
"174","51031020402","affordability index","index","Census Tract 204.02, Campbell County, Virginia","tract","52",2015
"175","51031020403","affordability index","index","Census Tract 204.03, Campbell County, Virginia","tract","59",2015
"176","51031020500","affordability index","index","Census Tract 205, Campbell County, Virginia","tract","55",2015
"177","51031020600","affordability index","index","Census Tract 206, Campbell County, Virginia","tract","60",2015
"178","51031020700","affordability index","index","Census Tract 207, Campbell County, Virginia","tract","48",2015
"179","51031020800","affordability index","index","Census Tract 208, Campbell County, Virginia","tract","53",2015
"180","51031020900","affordability index","index","Census Tract 209, Campbell County, Virginia","tract","52",2015
"181","51033030100","affordability index","index","Census Tract 301, Caroline County, Virginia","tract","52",2015
"182","51033030201","affordability index","index","Census Tract 302.01, Caroline County, Virginia","tract","56",2015
"183","51033030202","affordability index","index","Census Tract 302.02, Caroline County, Virginia","tract","52",2015
"184","51033030300","affordability index","index","Census Tract 303, Caroline County, Virginia","tract","51",2015
"185","51033030400","affordability index","index","Census Tract 304, Caroline County, Virginia","tract","49",2015
"186","51033030500","affordability index","index","Census Tract 305, Caroline County, Virginia","tract","54",2015
"187","51033030600","affordability index","index","Census Tract 306, Caroline County, Virginia","tract","49",2015
"188","51035080100","affordability index","index","Census Tract 801, Carroll County, Virginia","tract","68",2015
"189","51035080200","affordability index","index","Census Tract 802, Carroll County, Virginia","tract","64",2015
"190","51035080300","affordability index","index","Census Tract 803, Carroll County, Virginia","tract","69",2015
"191","51035080400","affordability index","index","Census Tract 804, Carroll County, Virginia","tract","66",2015
"192","51035080500","affordability index","index","Census Tract 805, Carroll County, Virginia","tract","55",2015
"193","51035080601","affordability index","index","Census Tract 806.01, Carroll County, Virginia","tract","64",2015
"194","51035080602","affordability index","index","Census Tract 806.02, Carroll County, Virginia","tract","69",2015
"195","51036600100","affordability index","index","Census Tract 6001, Charles City County, Virginia","tract","47",2015
"196","51036600200","affordability index","index","Census Tract 6002, Charles City County, Virginia","tract","49",2015
"197","51036600300","affordability index","index","Census Tract 6003, Charles City County, Virginia","tract","55",2015
"198","51037930100","affordability index","index","Census Tract 9301, Charlotte County, Virginia","tract","68",2015
"199","51037930200","affordability index","index","Census Tract 9302, Charlotte County, Virginia","tract","73",2015
"200","51037930300","affordability index","index","Census Tract 9303, Charlotte County, Virginia","tract","69",2015
"201","51041100106","affordability index","index","Census Tract 1001.06, Chesterfield County, Virginia","tract","54",2015
"202","51041100107","affordability index","index","Census Tract 1001.07, Chesterfield County, Virginia","tract","37",2015
"203","51041100205","affordability index","index","Census Tract 1002.05, Chesterfield County, Virginia","tract","40",2015
"204","51041100206","affordability index","index","Census Tract 1002.06, Chesterfield County, Virginia","tract","49",2015
"205","51041100208","affordability index","index","Census Tract 1002.08, Chesterfield County, Virginia","tract","57",2015
"206","51041100209","affordability index","index","Census Tract 1002.09, Chesterfield County, Virginia","tract","49",2015
"207","51041100210","affordability index","index","Census Tract 1002.10, Chesterfield County, Virginia","tract","43",2015
"208","51041100300","affordability index","index","Census Tract 1003, Chesterfield County, Virginia","tract","39",2015
"209","51041100403","affordability index","index","Census Tract 1004.03, Chesterfield County, Virginia","tract","53",2015
"210","51041100404","affordability index","index","Census Tract 1004.04, Chesterfield County, Virginia","tract","34",2015
"211","51041100405","affordability index","index","Census Tract 1004.05, Chesterfield County, Virginia","tract","40",2015
"212","51041100406","affordability index","index","Census Tract 1004.06, Chesterfield County, Virginia","tract","35",2015
"213","51041100407","affordability index","index","Census Tract 1004.07, Chesterfield County, Virginia","tract","40",2015
"214","51041100409","affordability index","index","Census Tract 1004.09, Chesterfield County, Virginia","tract","50",2015
"215","51041100410","affordability index","index","Census Tract 1004.10, Chesterfield County, Virginia","tract","44",2015
"216","51041100505","affordability index","index","Census Tract 1005.05, Chesterfield County, Virginia","tract","47",2015
"217","51041100506","affordability index","index","Census Tract 1005.06, Chesterfield County, Virginia","tract","45",2015
"218","51041100507","affordability index","index","Census Tract 1005.07, Chesterfield County, Virginia","tract","55",2015
"219","51041100508","affordability index","index","Census Tract 1005.08, Chesterfield County, Virginia","tract","48",2015
"220","51041100509","affordability index","index","Census Tract 1005.09, Chesterfield County, Virginia","tract","61",2015
"221","51041100510","affordability index","index","Census Tract 1005.10, Chesterfield County, Virginia","tract","48",2015
"222","51041100600","affordability index","index","Census Tract 1006, Chesterfield County, Virginia","tract","44",2015
"223","51041100701","affordability index","index","Census Tract 1007.01, Chesterfield County, Virginia","tract","46",2015
"224","51041100702","affordability index","index","Census Tract 1007.02, Chesterfield County, Virginia","tract","50",2015
"225","51041100703","affordability index","index","Census Tract 1007.03, Chesterfield County, Virginia","tract","54",2015
"226","51041100804","affordability index","index","Census Tract 1008.04, Chesterfield County, Virginia","tract","50",2015
"227","51041100805","affordability index","index","Census Tract 1008.05, Chesterfield County, Virginia","tract","50",2015
"228","51041100806","affordability index","index","Census Tract 1008.06, Chesterfield County, Virginia","tract","44",2015
"229","51041100807","affordability index","index","Census Tract 1008.07, Chesterfield County, Virginia","tract","49",2015
"230","51041100812","affordability index","index","Census Tract 1008.12, Chesterfield County, Virginia","tract","56",2015
"231","51041100814","affordability index","index","Census Tract 1008.14, Chesterfield County, Virginia","tract","45",2015
"232","51041100815","affordability index","index","Census Tract 1008.15, Chesterfield County, Virginia","tract","49",2015
"233","51041100816","affordability index","index","Census Tract 1008.16, Chesterfield County, Virginia","tract","49",2015
"234","51041100817","affordability index","index","Census Tract 1008.17, Chesterfield County, Virginia","tract","43",2015
"235","51041100818","affordability index","index","Census Tract 1008.18, Chesterfield County, Virginia","tract","57",2015
"236","51041100819","affordability index","index","Census Tract 1008.19, Chesterfield County, Virginia","tract","48",2015
"237","51041100820","affordability index","index","Census Tract 1008.20, Chesterfield County, Virginia","tract","52",2015
"238","51041100821","affordability index","index","Census Tract 1008.21, Chesterfield County, Virginia","tract","66",2015
"239","51041100822","affordability index","index","Census Tract 1008.22, Chesterfield County, Virginia","tract","62",2015
"240","51041100823","affordability index","index","Census Tract 1008.23, Chesterfield County, Virginia","tract","53",2015
"241","51041100902","affordability index","index","Census Tract 1009.02, Chesterfield County, Virginia","tract","53",2015
"242","51041100907","affordability index","index","Census Tract 1009.07, Chesterfield County, Virginia","tract","50",2015
"243","51041100910","affordability index","index","Census Tract 1009.10, Chesterfield County, Virginia","tract","49",2015
"244","51041100912","affordability index","index","Census Tract 1009.12, Chesterfield County, Virginia","tract","54",2015
"245","51041100915","affordability index","index","Census Tract 1009.15, Chesterfield County, Virginia","tract","49",2015
"246","51041100919","affordability index","index","Census Tract 1009.19, Chesterfield County, Virginia","tract","49",2015
"247","51041100920","affordability index","index","Census Tract 1009.20, Chesterfield County, Virginia","tract","42",2015
"248","51041100921","affordability index","index","Census Tract 1009.21, Chesterfield County, Virginia","tract","48",2015
"249","51041100922","affordability index","index","Census Tract 1009.22, Chesterfield County, Virginia","tract","47",2015
"250","51041100923","affordability index","index","Census Tract 1009.23, Chesterfield County, Virginia","tract","51",2015
"251","51041100924","affordability index","index","Census Tract 1009.24, Chesterfield County, Virginia","tract","69",2015
"252","51041100926","affordability index","index","Census Tract 1009.26, Chesterfield County, Virginia","tract","74",2015
"253","51041100927","affordability index","index","Census Tract 1009.27, Chesterfield County, Virginia","tract","56",2015
"254","51041100928","affordability index","index","Census Tract 1009.28, Chesterfield County, Virginia","tract","57",2015
"255","51041100929","affordability index","index","Census Tract 1009.29, Chesterfield County, Virginia","tract","50",2015
"256","51041100930","affordability index","index","Census Tract 1009.30, Chesterfield County, Virginia","tract","54",2015
"257","51041100931","affordability index","index","Census Tract 1009.31, Chesterfield County, Virginia","tract","57",2015
"258","51041100932","affordability index","index","Census Tract 1009.32, Chesterfield County, Virginia","tract","56",2015
"259","51041100933","affordability index","index","Census Tract 1009.33, Chesterfield County, Virginia","tract","45",2015
"260","51041100934","affordability index","index","Census Tract 1009.34, Chesterfield County, Virginia","tract","47",2015
"261","51041100935","affordability index","index","Census Tract 1009.35, Chesterfield County, Virginia","tract","70",2015
"262","51041100936","affordability index","index","Census Tract 1009.36, Chesterfield County, Virginia","tract","70",2015
"263","51041101003","affordability index","index","Census Tract 1010.03, Chesterfield County, Virginia","tract","68",2015
"264","51041101004","affordability index","index","Census Tract 1010.04, Chesterfield County, Virginia","tract","62",2015
"265","51041101007","affordability index","index","Census Tract 1010.07, Chesterfield County, Virginia","tract","56",2015
"266","51041101008","affordability index","index","Census Tract 1010.08, Chesterfield County, Virginia","tract","61",2015
"267","51041101009","affordability index","index","Census Tract 1010.09, Chesterfield County, Virginia","tract","60",2015
"268","51041101010","affordability index","index","Census Tract 1010.10, Chesterfield County, Virginia","tract","62",2015
"269","51041101011","affordability index","index","Census Tract 1010.11, Chesterfield County, Virginia","tract","55",2015
"270","51041101012","affordability index","index","Census Tract 1010.12, Chesterfield County, Virginia","tract","47",2015
"271","51041101013","affordability index","index","Census Tract 1010.13, Chesterfield County, Virginia","tract","64",2015
"272","51043010100","affordability index","index","Census Tract 101, Clarke County, Virginia","tract","34",2015
"273","51043010200","affordability index","index","Census Tract 102, Clarke County, Virginia","tract","44",2015
"274","51043010300","affordability index","index","Census Tract 103, Clarke County, Virginia","tract","41",2015
"275","51045050100","affordability index","index","Census Tract 501, Craig County, Virginia","tract","57",2015
"276","51047930101","affordability index","index","Census Tract 9301.01, Culpeper County, Virginia","tract","41",2015
"277","51047930102","affordability index","index","Census Tract 9301.02, Culpeper County, Virginia","tract","44",2015
"278","51047930201","affordability index","index","Census Tract 9302.01, Culpeper County, Virginia","tract","37",2015
"279","51047930202","affordability index","index","Census Tract 9302.02, Culpeper County, Virginia","tract","41",2015
"280","51047930300","affordability index","index","Census Tract 9303, Culpeper County, Virginia","tract","32",2015
"281","51047930400","affordability index","index","Census Tract 9304, Culpeper County, Virginia","tract","36",2015
"282","51047930501","affordability index","index","Census Tract 9305.01, Culpeper County, Virginia","tract","43",2015
"283","51047930502","affordability index","index","Census Tract 9305.02, Culpeper County, Virginia","tract","31",2015
"284","51049930100","affordability index","index","Census Tract 9301, Cumberland County, Virginia","tract","69",2015
"285","51049930200","affordability index","index","Census Tract 9302, Cumberland County, Virginia","tract","68",2015
"286","51051040100","affordability index","index","Census Tract 401, Dickenson County, Virginia","tract","61",2015
"287","51051040200","affordability index","index","Census Tract 402, Dickenson County, Virginia","tract","63",2015
"288","51051040300","affordability index","index","Census Tract 403, Dickenson County, Virginia","tract","54",2015
"289","51051040400","affordability index","index","Census Tract 404, Dickenson County, Virginia","tract","60",2015
"290","51053840100","affordability index","index","Census Tract 8401, Dinwiddie County, Virginia","tract","50",2015
"291","51053840200","affordability index","index","Census Tract 8402, Dinwiddie County, Virginia","tract","51",2015
"292","51053840300","affordability index","index","Census Tract 8403, Dinwiddie County, Virginia","tract","48",2015
"293","51053840400","affordability index","index","Census Tract 8404, Dinwiddie County, Virginia","tract","44",2015
"294","51053840500","affordability index","index","Census Tract 8405, Dinwiddie County, Virginia","tract","48",2015
"295","51053840600","affordability index","index","Census Tract 8406, Dinwiddie County, Virginia","tract","45",2015
"296","51053980100","affordability index","index","Census Tract 9801, Dinwiddie County, Virginia","tract",NA,2015
"297","51057950600","affordability index","index","Census Tract 9506, Essex County, Virginia","tract","67",2015
"298","51057950700","affordability index","index","Census Tract 9507, Essex County, Virginia","tract","63",2015
"299","51057950800","affordability index","index","Census Tract 9508, Essex County, Virginia","tract","60",2015
"300","51059415100","affordability index","index","Census Tract 4151, Fairfax County, Virginia","tract","55",2015
"301","51059415200","affordability index","index","Census Tract 4152, Fairfax County, Virginia","tract","38",2015
"302","51059415300","affordability index","index","Census Tract 4153, Fairfax County, Virginia","tract","43",2015
"303","51059415401","affordability index","index","Census Tract 4154.01, Fairfax County, Virginia","tract","33",2015
"304","51059415402","affordability index","index","Census Tract 4154.02, Fairfax County, Virginia","tract","48",2015
"305","51059415500","affordability index","index","Census Tract 4155, Fairfax County, Virginia","tract","44",2015
"306","51059415600","affordability index","index","Census Tract 4156, Fairfax County, Virginia","tract","62",2015
"307","51059415700","affordability index","index","Census Tract 4157, Fairfax County, Virginia","tract","57",2015
"308","51059415800","affordability index","index","Census Tract 4158, Fairfax County, Virginia","tract","57",2015
"309","51059415900","affordability index","index","Census Tract 4159, Fairfax County, Virginia","tract","50",2015
"310","51059416000","affordability index","index","Census Tract 4160, Fairfax County, Virginia","tract","39",2015
"311","51059416100","affordability index","index","Census Tract 4161, Fairfax County, Virginia","tract","55",2015
"312","51059416200","affordability index","index","Census Tract 4162, Fairfax County, Virginia","tract","47",2015
"313","51059416300","affordability index","index","Census Tract 4163, Fairfax County, Virginia","tract","57",2015
